# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABTB2	ABTB2	NM_145804.3	protein_coding	0	2	2	597	2	0	0	0	0	0	0	6	0	580	2	0	0	0	0	1	0	0	0	0	1	10
ACAD8	ACAD8	NM_014384.2	protein_coding	0	1	1	49	0	0	0	0	0	0	0	16	0	28	1	0	0	0	0	1	0	0	0	0	0	6
ACAT1	ACAT1	NM_000019.4	protein_coding	0	2	1	114	1	0	2	0	0	0	0	8	0	88	1	0	0	0	0	1	0	0	0	0	1	16
ACCS	ACCS	NM_001127219.2	protein_coding	0	2	2	103	2	0	0	0	0	0	0	15	0	67	2	0	0	0	0	1	0	0	0	0	1	20
ACCS	ACCS	NM_032592.4	protein_coding	0	2	2	103	2	0	1	0	0	0	0	15	0	66	2	0	0	0	0	1	0	0	0	0	1	20
ACCSL	ACCSL	NM_001031854.2	protein_coding	0	0	2	53	0	0	0	0	0	0	0	20	0	19	2	0	0	0	0	0	0	0	0	0	0	14
ACCSL	ACCSL	NM_001363113.1	protein_coding	0	0	1	54	0	0	1	0	0	0	0	20	0	19	1	0	0	0	0	0	0	0	0	0	0	14
ACER3	ACER3	NM_001300953.2	protein_coding	0	1	0	489	17	0	0	0	0	0	0	17	0	430	0	0	0	0	0	0	0	0	0	0	1	25
ACER3	ACER3	NM_001300954.2	protein_coding	0	1	0	489	17	0	2	0	0	0	0	17	0	428	0	0	0	0	0	0	0	0	0	0	1	25
ACER3	ACER3	NM_001300955.2	protein_coding	0	1	0	489	17	0	2	0	0	0	0	17	0	428	0	0	0	0	0	0	0	0	0	0	1	25
ACER3	ACER3	NM_018367.7	protein_coding	0	2	1	487	17	0	0	0	0	0	0	17	0	428	1	0	0	0	0	0	0	0	0	0	2	25
ACP2	ACP2	NM_001302489.1	protein_coding	0	1	1	58	2	0	0	0	0	0	0	18	0	25	1	0	0	0	0	0	0	0	0	0	1	13
ACP2	ACP2	NM_001302490.1	protein_coding	0	1	2	57	2	0	0	0	0	0	0	18	0	25	2	0	0	0	0	0	0	0	0	0	1	12
ACP2	ACP2	NM_001302491.1	protein_coding	0	0	2	58	2	0	0	0	0	0	0	18	0	26	2	0	0	0	0	0	0	0	0	0	0	12
ACP2	ACP2	NM_001302492.1	protein_coding	0	0	1	59	2	0	1	0	0	0	0	18	0	26	1	0	0	0	0	0	0	0	0	0	0	12
ACP2	ACP2	NM_001357016.1	protein_coding	0	1	2	57	2	0	0	0	0	0	0	18	0	25	2	0	0	0	0	0	0	0	0	0	1	12
ACP2	ACP2	NM_001610.4	protein_coding	0	1	2	57	2	0	0	0	0	0	0	18	0	25	2	0	0	0	0	0	0	0	0	0	1	12
ACRV1	ACRV1	NM_001612.6	protein_coding	0	0	1	38	3	0	0	0	0	0	0	6	0	24	1	0	0	0	0	0	0	0	0	0	0	5
ACRV1	ACRV1	NM_020069.5	protein_coding	0	0	1	38	3	0	0	0	0	0	0	6	0	24	1	0	0	0	0	0	0	0	0	0	0	5
ACRV1	ACRV1	NM_020107.5	protein_coding	0	0	1	38	3	0	0	0	0	0	0	6	0	24	1	0	0	0	0	0	0	0	0	0	0	5
ACRV1	ACRV1	NM_020108.5	protein_coding	0	0	1	38	3	0	0	0	0	0	0	6	0	24	1	0	0	0	0	0	0	0	0	0	0	5
ACTN3	ACTN3	NM_001104.4	protein_coding	1	2	5	72	0	0	0	0	0	0	0	18	0	46	5	0	0	0	0	1	0	1	0	0	2	8
ACTN3	ACTN3	NM_001258371.2	protein_coding	1	2	5	73	0	0	0	0	0	0	0	18	0	46	5	0	0	0	0	1	0	1	0	0	2	9
ACTN3	ACTN3	NR_047663.2		0	1	0	79	0	0	0	0	0	0	0	18	0	46	0	8	0	0	0	1	0	0	0	0	0	8
ACY3	ACY3	NM_080658.2	protein_coding	0	2	1	65	1	0	2	0	0	0	0	19	0	22	1	0	0	0	0	0	0	0	0	0	2	21
ADAMTS15	ADAMTS15	NM_139055.3	protein_coding	0	1	2	105	4	0	0	0	0	0	0	15	0	63	2	0	0	0	0	0	0	0	0	0	1	23
ADAMTS8	ADAMTS8	NM_007037.6	protein_coding	0	1	5	70	1	0	1	0	0	0	0	13	0	45	5	0	0	0	0	0	0	0	0	0	1	10
ADM	ADM	NM_001124.3	protein_coding	0	1	0	29	1	1	1	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	15
AGBL2	AGBL2.2	NM_024783.4.2	protein_coding	0	3	4	147	1	0	0	0	0	0	0	9	0	129	4	0	0	0	0	3	0	0	0	0	0	11
AHNAK	AHNAK	NM_001346445.2	protein_coding	0	6	10	37	2	0	0	0	0	0	0	5	0	20	10	0	0	0	0	0	0	0	0	0	6	10
AHNAK	AHNAK	NM_001346446.2	protein_coding	0	6	10	37	2	0	0	0	0	0	0	5	0	20	10	0	0	0	0	0	0	0	0	0	6	10
AHNAK	AHNAK	NM_001620.3	protein_coding	0	6	10	39	2	0	0	0	0	0	0	5	0	20	10	0	0	0	0	0	0	0	0	0	6	12
AHNAK	AHNAK	NM_024060.4	protein_coding	0	0	0	228	2	0	0	0	0	0	0	16	0	198	0	0	0	0	0	0	0	0	0	0	0	12
AIP	AIP	NM_001302959.1	protein_coding	0	1	1	51	0	0	1	0	0	0	0	14	0	29	1	0	0	0	0	0	0	0	0	0	1	7
AIP	AIP	NM_001302960.2	protein_coding	0	1	1	53	0	0	0	0	0	0	0	14	0	30	1	0	0	0	0	0	0	0	0	0	1	9
AIP	AIP	NM_003977.4	protein_coding	0	1	1	53	0	0	0	0	0	0	0	14	0	30	1	0	0	0	0	0	0	0	0	0	1	9
AKIP1	AKIP1	NM_001206646.2	protein_coding	0	0	2	74	5	0	0	0	0	0	0	17	0	37	2	0	0	0	0	0	0	0	0	0	0	15
AKIP1	AKIP1	NM_001206647.2	protein_coding	0	0	2	74	5	0	0	0	0	0	0	17	0	37	2	0	0	0	0	0	0	0	0	0	0	15
AKIP1	AKIP1	NM_001206648.2	protein_coding	0	0	2	74	5	0	0	0	0	0	0	17	0	37	2	0	0	0	0	0	0	0	0	0	0	15
AKIP1	AKIP1	NM_020642.4	protein_coding	0	0	2	74	5	0	0	0	0	0	0	17	0	37	2	0	0	0	0	0	0	0	0	0	0	15
AKIP1	AKIP1	NR_045417.2		0	0	0	76	0	0	0	0	0	0	0	17	0	37	0	7	0	0	0	0	0	0	0	0	0	15
AKIP1	AKIP1	NR_045418.2		0	0	0	76	0	0	0	0	0	0	0	17	0	37	0	7	0	0	0	0	0	0	0	0	0	15
ALDH3B1	ALDH3B1	NM_000694.4	protein_coding	0	5	0	69	3	0	0	0	0	0	0	18	0	39	0	0	0	0	0	0	0	0	0	0	5	9
ALDH3B1	ALDH3B1	NM_001030010.3	protein_coding	0	5	0	69	3	0	0	0	0	0	0	18	0	39	0	0	0	0	0	0	0	0	0	0	5	9
ALDH3B1	ALDH3B1	NM_001161473.3	protein_coding	0	5	0	72	3	0	0	0	0	0	0	18	0	42	0	0	0	0	0	0	0	0	0	0	5	9
ALDH3B1	ALDH3B1	NM_001290058.2	protein_coding	0	4	0	70	3	0	0	0	0	0	0	18	0	40	0	0	0	0	0	0	0	0	0	0	4	9
ALDH3B1	ALDH3B1	NM_001290059.2	protein_coding	0	5	0	70	3	1	1	0	0	0	0	18	0	39	0	0	0	0	0	0	0	0	0	0	4	9
ALDH3B2	ALDH3B2	NM_001031615.2	protein_coding	0	2	4	93	4	0	1	0	0	0	0	13	0	61	4	0	0	0	0	1	0	0	0	0	1	15
ALDH3B2	ALDH3B2	NM_001354345.1	protein_coding	1	2	4	75	4	0	2	0	0	0	0	13	0	48	4	0	0	0	1	1	0	0	0	0	1	10
ALG1L9P	ALG1L9P	NR_073386.1		0	0	0	176	0	0	0	0	0	0	0	21	0	104	0	10	0	0	0	0	0	0	0	0	0	41
ALG1L9P	ALG1L9P	NR_073387.1		0	0	0	79	0	0	0	0	0	0	0	26	0	5	0	7	0	0	0	0	0	0	0	0	0	41
ALG1L9P	ALG1L9P	NR_073388.1		0	0	0	169	0	0	0	0	0	0	0	22	0	101	0	5	0	0	0	0	0	0	0	0	0	41
ALG8	ALG8	NM_001007027.2	protein_coding	0	3	4	253	1	0	1	0	0	0	0	20	0	213	4	0	0	0	0	2	0	0	0	1	0	19
ALG8	ALG8	NM_024079.5	protein_coding	0	0	4	255	0	0	0	0	0	0	0	21	0	214	4	0	0	0	0	0	0	0	0	0	0	20
ALG9	ALG9	NM_001077690.1	protein_coding	0	1	1	141	2	0	1	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001077691.2	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001077692.2	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352409.1	protein_coding	0	1	1	141	2	0	1	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352410.1	protein_coding	0	1	1	141	2	0	1	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352411.2	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352412.2	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352413.1	protein_coding	0	1	1	141	2	0	1	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352414.2	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352415.1	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352416.1	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352417.1	protein_coding	0	1	1	141	2	0	1	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352418.1	protein_coding	0	1	1	141	2	0	1	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352419.1	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352420.2	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352421.2	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352422.2	protein_coding	0	1	1	140	2	0	1	0	0	0	0	9	0	120	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_001352423.2	protein_coding	0	1	1	140	2	0	0	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NM_024740.2	protein_coding	0	1	1	141	2	0	1	0	0	0	0	9	0	121	1	0	0	0	0	1	0	0	0	0	0	9
ALG9	ALG9	NR_147984.2		0	1	0	141	0	0	0	0	0	0	0	9	0	121	0	3	0	0	0	1	0	0	0	0	0	9
ALKBH3	ALKBH3	NM_139178.4	protein_coding	0	3	1	166	2	0	1	0	0	0	0	10	0	139	1	0	0	0	0	0	0	0	0	0	3	14
ALKBH3-AS1	ALKBH3-AS1	NR_038907.1		0	0	0	55	0	0	0	0	0	0	0	17	0	26	0	2	0	0	0	0	0	0	0	0	0	10
ALKBH8	ALKBH8	NM_001301010.2	protein_coding	0	3	0	214	5	0	0	0	0	0	0	17	0	188	0	0	0	0	0	1	0	0	0	0	2	5
ALKBH8	ALKBH8	NM_138775.3	protein_coding	0	3	0	214	5	0	0	0	0	0	0	17	0	188	0	0	0	0	0	1	0	0	0	0	2	5
ALX4	ALX4	NM_021926.4	protein_coding	0	5	2	222	15	0	0	0	0	0	0	9	0	181	2	0	0	0	0	0	0	0	0	0	5	17
AMBRA1	AMBRA1	NM_001267782.2	protein_coding	0	2	2	227	0	1	1	0	0	0	0	1	0	222	2	0	0	0	0	0	0	0	0	0	1	3
AMBRA1	AMBRA1	NM_001267783.2	protein_coding	0	2	1	228	0	1	1	0	0	0	0	1	0	223	1	0	0	0	0	0	0	0	0	0	1	3
AMBRA1	AMBRA1	NM_001300731.2	protein_coding	0	2	1	228	0	1	1	0	0	0	0	1	0	223	1	0	0	0	0	0	0	0	0	0	1	3
AMBRA1	AMBRA1	NM_001367468.1	protein_coding	0	2	1	226	0	1	1	0	0	0	0	1	0	219	1	0	0	0	0	0	0	0	0	0	1	5
AMBRA1	AMBRA1	NM_001367469.1	protein_coding	0	2	1	228	0	1	1	0	0	0	0	1	0	223	1	0	0	0	0	0	0	0	0	0	1	3
AMBRA1	AMBRA1	NM_001367470.1	protein_coding	0	2	1	228	0	1	1	0	0	0	0	1	0	223	1	0	0	0	0	0	0	0	0	0	1	3
AMBRA1	AMBRA1	NM_001367471.1	protein_coding	0	2	1	228	0	1	1	0	0	0	0	1	0	223	1	0	0	0	0	0	0	0	0	0	1	3
AMBRA1	AMBRA1	NM_017749.3	protein_coding	0	2	1	226	0	1	1	0	0	0	0	1	0	219	1	0	0	0	0	0	0	0	0	0	1	5
AMBRA1	AMBRA1	NR_160027.1		0	0	0	225	0	0	0	0	0	0	0	1	0	214	0	3	0	0	0	0	0	0	0	0	0	7
AMOTL1	AMOTL1	NM_001301007.2	protein_coding	0	2	1	193	5	0	1	0	0	0	0	14	0	171	1	0	0	0	0	0	0	0	0	0	2	2
AMOTL1	AMOTL1	NM_130847.3	protein_coding	0	2	1	193	5	0	1	0	0	0	0	14	0	171	1	0	0	0	0	0	0	0	0	0	2	2
AMPD3	AMPD3	NM_000480.3	protein_coding	0	3	2	298	8	0	1	0	0	0	0	24	0	239	2	0	0	0	0	0	0	0	0	0	3	26
AMPD3	AMPD3	NM_001025389.2	protein_coding	0	3	2	273	8	0	4	0	0	0	0	24	0	215	2	0	0	0	0	0	0	0	0	0	3	22
AMPD3	AMPD3	NM_001025390.2	protein_coding	0	3	2	271	8	0	0	0	0	0	0	24	0	213	2	0	0	0	0	0	0	0	0	0	3	26
AMPD3	AMPD3	NM_001172430.1	protein_coding	0	3	2	245	8	0	0	0	0	0	0	24	0	195	2	0	0	0	0	0	0	0	0	0	3	18
AMPD3	AMPD3	NM_001172431.1	protein_coding	1	3	1	298	8	0	0	0	0	0	0	24	0	242	1	0	0	0	1	0	0	0	0	0	3	25
ANAPC15	ANAPC15	NM_001278485.2	protein_coding	0	1	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_001278486.2	protein_coding	0	1	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_001278487.2	protein_coding	0	1	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_001278488.1	protein_coding	0	1	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_001278489.2	protein_coding	0	1	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_001278490.2	protein_coding	0	1	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_001278491.1	protein_coding	0	1	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_001278492.1	protein_coding	0	1	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_001278493.1	protein_coding	0	1	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_001278494.1	protein_coding	0	1	0	14	0	0	1	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_001330321.2	protein_coding	0	1	0	19	1	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANAPC15	ANAPC15	NM_014042.3	protein_coding	0	1	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	6
ANGPTL5	ANGPTL5	NM_178127.5	protein_coding	0	5	3	66	1	2	5	0	0	0	0	7	0	47	3	0	0	0	0	1	0	0	0	0	2	7
ANKK1	ANKK1	NM_178510.2	protein_coding	0	3	11	58	1	0	0	0	0	0	0	20	0	28	11	0	0	0	0	1	0	0	0	0	3	9
ANKRD13D	ANKRD13D	NM_001347901.2	protein_coding	0	2	0	36	0	0	0	0	0	0	0	11	0	18	0	0	0	0	0	0	0	0	0	0	2	7
ANKRD13D	ANKRD13D	NM_207354.3	protein_coding	0	2	0	36	0	0	0	0	0	0	0	11	0	18	0	0	0	0	0	0	0	0	0	0	2	7
ANKRD42	ANKRD42	NM_001300972.2	protein_coding	0	0	3	171	1	0	1	0	0	0	0	20	0	145	3	0	0	0	0	0	0	0	0	0	0	4
ANKRD42	ANKRD42	NM_001300973.2	protein_coding	0	0	3	171	1	0	1	0	0	0	0	20	0	145	3	0	0	0	0	0	0	0	0	0	0	4
ANKRD42	ANKRD42	NM_001300975.2	protein_coding	0	0	2	147	5	0	1	0	0	0	0	16	0	121	2	0	0	0	0	0	0	0	0	0	0	4
ANKRD42	ANKRD42	NM_001300976.2	protein_coding	0	0	1	51	5	0	1	0	0	0	0	8	0	33	1	0	0	0	0	0	0	0	0	0	0	4
ANKRD42	ANKRD42	NM_001300977.2	protein_coding	0	0	1	51	6	0	1	0	0	0	0	8	0	32	1	0	0	0	0	0	0	0	0	0	0	4
ANKRD42	ANKRD42	NM_182603.4	protein_coding	0	0	2	147	5	0	1	0	0	0	0	16	0	121	2	0	0	0	0	0	0	0	0	0	0	4
ANKRD42	ANKRD42	NR_125355.2		0	0	0	52	0	0	0	0	0	0	0	8	0	33	0	7	0	0	0	0	0	0	0	0	0	4
ANKRD49	ANKRD49	NM_017704.3	protein_coding	0	3	1	32	2	0	0	0	0	0	0	7	0	9	1	0	0	0	0	0	0	0	0	0	3	14
ANO1	ANO1	NM_018043.6	protein_coding	0	6	4	478	3	0	0	0	0	0	0	14	0	436	4	0	0	0	0	1	0	0	0	0	5	26
ANO1	ANO1	NR_030691.2		0	0	0	456	0	0	0	0	0	0	0	14	0	418	0	9	0	0	0	0	0	0	0	0	0	15
ANO3	ANO3	NM_001313726.1	protein_coding	0	7	3	1813	7	0	0	0	0	0	0	11	0	1792	3	0	0	0	0	2	0	0	0	0	5	5
ANO3	ANO3	NM_001313727.1	protein_coding	0	7	3	975	7	0	0	0	0	0	0	11	0	943	3	0	0	0	0	2	0	0	0	0	5	16
ANO3	ANO3	NM_031418.4	protein_coding	0	7	3	1439	7	0	1	0	0	0	0	11	0	1409	3	0	0	0	0	2	0	0	0	0	5	13
ANO3-AS1	ANO3-AS1	NR_132968.1		0	0	0	20	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	6
ANO5	ANO5	NM_001142649.2	protein_coding	1	2	3	209	11	1	3	0	0	0	0	11	1	176	3	0	0	0	0	0	0	0	0	0	1	8
ANO5	ANO5	NM_213599.2	protein_coding	1	2	3	209	11	1	3	0	0	0	0	11	1	176	3	0	0	0	0	0	0	0	0	0	1	8
ANO9	ANO9	NM_001012302.3	protein_coding	1	3	5	78	2	0	0	0	0	0	0	6	0	65	5	0	0	1	0	1	0	0	0	0	2	7
ANO9	ANO9	NM_001347882.2	protein_coding	1	3	3	80	2	0	3	0	0	0	0	6	0	64	3	0	0	1	0	1	0	0	0	0	2	7
AP2A2	AP2A2.2	NM_001242837.1	protein_coding	0	4	3	331	13	0	0	0	0	0	0	21	0	286	3	0	0	0	0	2	0	0	0	0	3	12
AP2A2	AP2A2.2	NM_012305.4.3	protein_coding	0	4	3	331	13	0	0	0	0	0	0	21	0	286	3	0	0	0	0	2	0	0	0	0	3	12
AP2A2	AP2A2.2	NR_144509.2.3		0	2	0	336	0	0	0	0	0	0	0	21	0	286	0	19	0	0	0	2	0	0	0	0	0	12
AP2A2	AP2A2.2	NR_144510.2.2		0	2	0	336	0	0	0	0	0	0	0	21	0	286	0	19	0	0	0	2	0	0	0	0	0	12
AP5B1	AP5B1	NM_138368.5	protein_coding	0	2	3	44	8	1	2	0	0	0	0	7	0	1	3	0	0	0	0	0	0	0	0	0	1	26
APBB1	APBB1	NM_001164.5	protein_coding	0	0	0	74	0	0	0	0	0	0	0	14	0	52	0	0	0	0	0	0	0	0	0	0	0	8
APBB1	APBB1	NM_001257319.2	protein_coding	0	0	0	37	0	0	0	0	0	0	0	14	0	18	0	0	0	0	0	0	0	0	0	0	0	5
APBB1	APBB1	NM_001257320.2	protein_coding	0	0	0	38	0	0	0	0	0	0	0	14	0	18	0	0	0	0	0	0	0	0	0	0	0	6
APBB1	APBB1	NM_001257321.2	protein_coding	0	0	0	38	0	0	0	0	0	0	0	14	0	18	0	0	0	0	0	0	0	0	0	0	0	6
APBB1	APBB1	NM_001257323.2	protein_coding	0	0	0	37	0	0	0	0	0	0	0	14	0	18	0	0	0	0	0	0	0	0	0	0	0	5
APBB1	APBB1	NM_001257325.2	protein_coding	0	0	0	37	0	0	1	0	0	0	0	14	0	17	0	0	0	0	0	0	0	0	0	0	0	5
APBB1	APBB1	NM_001257326.2	protein_coding	0	0	0	38	0	0	0	0	0	0	0	14	0	18	0	0	0	0	0	0	0	0	0	0	0	6
APBB1	APBB1	NM_145689.3	protein_coding	0	0	0	75	0	0	1	0	0	0	0	14	0	52	0	0	0	0	0	0	0	0	0	0	0	8
APBB1	APBB1	NR_047512.2		0	0	0	74	0	0	0	0	0	0	0	14	0	52	0	0	0	0	0	0	0	0	0	0	0	8
API5	API5	NM_001142930.2	protein_coding	0	0	0	80	2	0	2	0	0	0	0	5	0	61	0	0	0	0	0	0	0	0	0	0	0	10
API5	API5	NM_001142931.2	protein_coding	0	0	0	80	2	0	2	0	0	0	0	5	0	61	0	0	0	0	0	0	0	0	0	0	0	10
API5	API5	NM_001243747.2	protein_coding	0	0	0	80	2	0	2	0	0	0	0	5	0	61	0	0	0	0	0	0	0	0	0	0	0	10
API5	API5	NM_006595.4	protein_coding	0	0	0	80	2	0	2	0	0	0	0	5	0	61	0	0	0	0	0	0	0	0	0	0	0	10
API5	API5	NR_024625.2		0	0	0	80	0	0	0	0	0	0	0	5	0	61	0	4	0	0	0	0	0	0	0	0	0	10
APIP	APIP	NM_015957.4	protein_coding	0	3	3	288	1	1	3	0	0	0	0	28	0	212	3	0	0	0	0	2	0	0	0	0	1	45
